"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Descripció torn","Hora de dia","Descripció causa vianant","Desc. Tipus vehicle implicat","Descripció sexe","Descripció tipus persona",Edat,"Descripció victimització","Coordenada UTM (Y)","Coordenada UTM (X)"
"2010S000032    ",2,Eixample,8,"l'Antiga Esquerra de l'Eixample",350308,València,"0199 0199",Diumenge,Dg,Laboral,2010,1,Gener,3,Tarda,19,"No és causa del  vianant",Turismo,Dona,Conductor,36,"Ferit lleu","4582568,21","429799,37"
"2010S000033    ",2,Eixample,7,"la Dreta de l'Eixample",18505,Aragó,"0282 0282",Diumenge,Dg,Laboral,2010,1,Gener,3,Tarda,18,"No és causa del  vianant",Motocicleta,Home,Passatger,23,"Ferit lleu","4582873,68","430340,37"
"2010S000033    ",2,Eixample,7,"la Dreta de l'Eixample",18505,Aragó,"0282 0282",Diumenge,Dg,Laboral,2010,1,Gener,3,Tarda,18,"No és causa del  vianant",Motocicleta,Home,Conductor,23,"Ferit lleu","4582873,68","430340,37"
"2010S000033    ",2,Eixample,7,"la Dreta de l'Eixample",18505,Aragó,"0282 0282",Diumenge,Dg,Laboral,2010,1,Gener,3,Tarda,18,"No és causa del  vianant",Turismo,Home,Conductor,45,"Ferit lleu","4582873,68","430340,37"
"2010S000034    ",10,"Sant Martí",70,"el Besòs i el Maresme",701414,C-31,020840000,Diumenge,Dg,Laboral,2010,1,Gener,3,Nit,22,"Desobeir el senyal del semàfor",Turismo,Home,Vianant,18,"Ferit lleu","4585877,10","434007,45"
"2010S000036    ",2,Eixample,8,"l'Antiga Esquerra de l'Eixample",350308,València,"0167 0167",Diumenge,Dg,Laboral,2010,1,Gener,3,Tarda,19,"No és causa del  vianant",Bicicleta,Dona,Conductor,20,"Ferit lleu","4582426,75","429655,48"
"2010S000037    ",2,Eixample,5,"el Fort Pienc",144601,Diagonal,"0277 0279",Dilluns,Dl,Laboral,2010,1,Gener,4,Nit,00,"No és causa del  vianant",Turismo,Dona,Passatger,33,"Ferit lleu","4583759,57","431274,79"
"2010S000038    ",2,Eixample,10,"Sant Antoni",361406,Viladomat,"0055 0055",Dilluns,Dl,Laboral,2010,1,Gener,4,Matí,08,"No és causa del  vianant",Motocicleta,Dona,Conductor,43,"Ferit lleu","4581197,53","429865,01"
"2010S000039    ",2,Eixample,7,"la Dreta de l'Eixample",176801,"Roger de Llúria","0085 0085",Diumenge,Dg,Laboral,2010,1,Gener,3,Tarda,19,"No és causa del  vianant",Turismo,Dona,Passatger,35,"Ferit lleu","4583121,25","430414,53"
"2010S000040    ",2,Eixample,8,"l'Antiga Esquerra de l'Eixample",223606,Muntaner,"0092 0092",Dilluns,Dl,Laboral,2010,1,Gener,4,Matí,09,"No és causa del  vianant",Motocicleta,Dona,Conductor,51,"Ferit lleu","4582426,01","429629,80"
"2010S000041    ",3,Sants-Montjuïc,15,Hostafrancs,114000,Espanya,"0005 0005",Dilluns,Dl,Laboral,2010,1,Gener,4,Matí,11,"No és causa del  vianant",Motocicleta,Home,Conductor,42,"Ferit lleu","4580937,40","428856,34"
"2010S000042    ",4,"Les Corts",19,"les Corts",144601,Diagonal,0587X0587X,Dilluns,Dl,Laboral,2010,1,Gener,4,Matí,11,"No és causa del  vianant",Motocicleta,Dona,Conductor,32,"Ferit lleu","4582511,71","427514,84"
"2010S000043    ",8,"Nou Barris",53,"la Trinitat Nova",701267,"Dalt (Besòs)",001490000,Dilluns,Dl,Laboral,2010,1,Gener,4,Matí,07,"No és causa del  vianant",Motocicleta,Home,Conductor,31,"Ferit lleu","4588830,68","431621,76"
"2010S000044    ",6,Gràcia,31,"la Vila de Gràcia",123408,Lesseps,"0002 0002",Dilluns,Dl,Laboral,2010,1,Gener,4,Matí,10,"No és causa del  vianant",Motocicleta,Home,Conductor,39,"Ferit lleu","4584380,65","429080,50"
"2010S000045    ",2,Eixample,5,"el Fort Pienc",146902,"Glòries Catalanes",0001X0001X,Dilluns,Dl,Laboral,2010,1,Gener,4,Matí,13,"No és causa del  vianant",Ciclomotor,Dona,Conductor,27,"Ferit lleu","4583938,87","432078,02"
"2010S000046    ",2,Eixample,8,"l'Antiga Esquerra de l'Eixample",268003,Provença,"0179 0179",Dilluns,Dl,Laboral,2010,1,Gener,4,Tarda,15,"No és causa del  vianant",Motocicleta,Dona,Conductor,34,"Ferit lleu","4582707,90","429559,10"
"2010S000047    ",3,Sants-Montjuïc,11,"el Poble Sec",701266,"Litoral (Llobregat)",001430000,Dilluns,Dl,Laboral,2010,1,Gener,4,Tarda,15,"No és causa del  vianant",Motocicleta,Home,Conductor,24,"Ferit greu","4578523,14","429617,47"
