"Número d'expedient","Codi districte","Nom districte","NK barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia de setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripció torn","Descripció causa vianant","Número de morts","Número de lesionats lleus","Número de lesionats greus","Número de víctimes","Número de vehicles implicats","Coordenada UTM (Y)","Coordenada UTM (X)"
2012S006168,3,Sants-Montjuïc,33-3-16,"la Bordeta",30602,Badal,"0067 0073",Divendres,5,Laboral,2012,8,Agost,31,11,Matí,Desconegut,0,1,0,1,2,"4580034,58","427472,11"
2012S002157,3,Sants-Montjuïc,33-3-16,"la Bordeta",30602,Badal,"0081 0111",Divendres,5,Laboral,2012,3,Març,23,19,Tarda,Desconegut,0,1,0,1,2,"4580171,13","427431,99"
2012S002843,3,Sants-Montjuïc,34-3-18,Sants,296406,"Sant Antoni","0012 0012",Dissabte,6,Laboral,2012,4,Abril,21,09,Matí,Desconegut,0,0,0,0,1,"4580887,02","427816,97"
2012S005477,3,Sants-Montjuïc,34-3-18,Sants,30602,Badal,"0112 0114",Divendres,5,Laboral,2012,7,Juliol,27,09,Matí,Desconegut,0,1,0,1,2,"4580316,88","427446,44"
2012S000384,3,Sants-Montjuïc,34-3-18,Sants,30602,Badal,"0196 0202",Dimecres,3,Laboral,2012,1,Gener,18,13,Matí,Desconegut,0,1,0,1,2,"4580778,04","427321,23"
2012S006591,4,"Les Corts",41-4-19,"les Corts",343903,Corts,"0229 0229",Dimecres,3,Laboral,2012,9,Setembre,19,20,Tarda,Desconegut,0,2,0,2,2,"4581799,23","427338,02"
2012S001207,4,"Les Corts",41-4-19,"les Corts",343903,Corts,0243B0243B,Divendres,5,Laboral,2012,2,Febrer,17,22,Nit,Desconegut,0,1,0,1,2,"4581845,97","427391,81"
2012S008987,4,"Les Corts",41-4-19,"les Corts",144601,Diagonal,"0579 0587",Dimecres,3,Laboral,2012,12,Desembre,19,18,Tarda,"Desobeir el senyal del semàfor",0,1,0,1,1,"4582320,97","427462,45"
2012S005058,4,"Les Corts",41-4-19,"les Corts",144601,Diagonal,"0579 0587",Dimecres,3,Laboral,2012,7,Juliol,11,11,Matí,Desconegut,0,1,0,1,2,"4582320,97","427462,45"
2012S008656,4,"Les Corts",41-4-19,"les Corts",125006,Fígols,"0031 0045",Dissabte,6,Laboral,2012,12,Desembre,8,20,Tarda,Desconegut,0,1,0,1,5,"4581536,47","427349,90"
