Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal_caption;Descripcio_dia_setmana;Dia_setmana;Descripcio_tipus_dia;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_tipus_accident;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2020S004296    ;10;Sant Martí;71;Provençals del Poblenou;115603;Espronceda;0163 0163;Diumenge;Dg;Laboral;2020;9;Setembre;20;0;Nit;Col.lisió fronto-lateral;433254,9;4584613,24;2.200.302.119;41.408.448.607
2020S004297    ;2;Eixample;8;l'Antiga Esquerra de l'Eixample;169409;Corts Catalanes;0583 0583;Diumenge;Dg;Laboral;2020;9;Setembre;20;1;Nit;Col.lisió lateral;430080,36;4582095,48;2.162.614.957;4.138.550.196
2020S004298    ;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;330107;Tànger;0093 0093;Diumenge;Dg;Laboral;2020;9;Setembre;20;8;Matí;Col.lisió lateral;432625,18;4583978,02;2.192.839.285;41.402.674.791
2020S004299    ;4;Les Corts;21;Pedralbes;244300;Pius XII;0006 0006;Diumenge;Dg;Laboral;2020;9;Setembre;20;5;Nit;Xoc contra element estàtic;426677,83;4582359,22;2.121.892.177;41.387.574.267
2020S004300    ;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;0236 0236;Diumenge;Dg;Laboral;2020;9;Setembre;20;10;Matí;Col.lisió lateral;430053,14;4582592,29;2.162.232.035;41.389.974.201
2020S004301    ;7;Horta-Guinardó;39;Sant Genís dels Agudells;148409;Sant Cugat;0329 0329;Dissabte;Ds;Laboral;2020;9;Setembre;19;4;Nit;Xoc contra element estàtic;427594,87;4587273,26;2.132.271.085;41.431.916.053
2020S004302    ;1;Ciutat Vella;3;la Barceloneta;10900;Pepe Rubianes;0037 0037;Diumenge;Dg;Laboral;2020;9;Setembre;20;11;Matí;Caiguda interior vehicle;432504,11;4581340,31;2.191.685.112;41.378.907.457
2020S004303    ;1;Ciutat Vella;2;el Barri Gòtic;122904;Ferran;0035B0035B;Diumenge;Dg;Laboral;2020;9;Setembre;20;13;Matí;Atropellament;431171,99;4581655,36;2.175.719.909;41.381.632.115
2020S004304    ;10;Sant Martí;67;la Vila Olímpica del Poblenou;110009;Ramon Turró;0088 0088;Diumenge;Dg;Laboral;2020;9;Setembre;20;16;Tarda;Xoc contra element estàtic;432871,33;4583066,19;2.195.884.969;41.394.482.778
2020S004305    ;6;Gràcia;31;la Vila de Gràcia;282401;Riera de Sant Miquel;0046 0046;Dissabte;Ds;Laboral;2020;9;Setembre;19;21;Tarda;Abast;429553,95;4583509,05;2.156.155.075;41.398.187.553
2020S004306    ;8;Nou Barris;53;la Trinitat Nova;209900;Meridiana;0605X0605X;Diumenge;Dg;Laboral;2020;9;Setembre;20;20;Tarda;Abast;432279,56;4589210,67;2.188.118.439;41.449.774.537
2020S004307    ;7;Horta-Guinardó;39;Sant Genís dels Agudells;148409;Sant Cugat;170000;Diumenge;Dg;Laboral;2020;9;Setembre;20;20;Tarda;Col.lisió frontal;427265,44;4586458,03;2.128.426.767;41.424.543.872
2020S004308    ;3;Sants-Montjuïc;13;la Marina de Port;265504;Prat;0032 0032;Diumenge;Dg;Laboral;2020;9;Setembre;20;21;Tarda;Col.lisió lateral;427662,64;4579328,35;2.134.031.741;41.360.365.537
2020S004309    ;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;3508;Aigües;0231 0231;Diumenge;Dg;Laboral;2020;9;Setembre;20;20;Tarda;Col.lisió lateral;426585,74;4585525,85;2.120.406.608;41.416.086.305
2020S004310    ;2;Eixample;9;la Nova Esquerra de l'Eixample;18505;Aragó;0109 0111;Dissabte;Ds;Laboral;2020;9;Setembre;19;22;Nit;Col.lisió fronto-lateral;429196,24;4581790,59;2.152.077.357;41.382.678.546
2020S004311    ;8;Nou Barris;44;Vilapicina i la Torre Llobeta;258509;Pitàgores;0023 0023;Diumenge;Dg;Laboral;2020;9;Setembre;20;21;Tarda;Xoc amb animal a la calçada;430407,27;4586879,03;2.165.974.127;41.428.614.127
2020S004312    ;1;Ciutat Vella;1;el Raval;86902;Nou de la Rambla;0108X0108X;Diumenge;Dg;Laboral;2020;9;Setembre;20;23;Nit;Abast;430695,81;4580942,22;2.170.107.149;41.375.168.168
2020S004313    ;3;Sants-Montjuïc;16;la Bordeta;160903;Ildefons Cerdà;0007 0007;Dilluns;Dl;Laboral;2020;9;Setembre;21;0;Nit;Col.lisió lateral;427810,45;4579885,77;2.135.732.343;41.365.399.302
2020S004314    ;6;Gràcia;28;Vallcarca i els Penitents;701267;Dalt (Besòs);1000000;Dilluns;Dl;Laboral;2020;9;Setembre;21;7;Matí;Abast multiple;428198,7;4585893;2.139.661.434;41.419.538.886
2020S004315    ;1;Ciutat Vella;2;el Barri Gòtic;169307;Josep Anselm Clavé;0001 0001;Dilluns;Dl;Laboral;2020;9;Setembre;21;9;Matí;Col.lisió fronto-lateral;431318,34;4581116,15;2.177.531.166;41.376.788.111
2020S004316    ;3;Sants-Montjuïc;16;la Bordeta;160903;Ildefons Cerdà;0004X0004X;Dilluns;Dl;Laboral;2020;9;Setembre;21;9;Matí;Caiguda (dues rodes);427709,76;4579817,18;2.134.536.742;41.364.772.495
2020S004317    ;10;Sant Martí;73;la Verneda i la Pau;266405;Prim;0192 0194;Dilluns;Dl;Laboral;2020;9;Setembre;21;10;Matí;Col.lisió fronto-lateral;433697,06;4586136,21;2.205.424.844;41.422.202.208
2020S004318    ;6;Gràcia;29;el Coll;220903;Móra d'Ebre;0037 0037;Dilluns;Dl;Laboral;2020;9;Setembre;21;12;Matí;Caiguda interior vehicle;428956,58;4585694,31;214.875.303;41.417.816.768
2020S004319    ;2;Eixample;7;la Dreta de l'Eixample;169409;Corts Catalanes;0608 0608;Dilluns;Dl;Laboral;2020;9;Setembre;21;13;Matí;Col.lisió fronto-lateral;430355,37;4582292,06;2.165.881.216;41.387.296.364
2020S004320    ;2;Eixample;6;la Sagrada Família;76807;Sardenya;0245 0245;Dilluns;Dl;Laboral;2020;9;Setembre;21;14;Tarda;Col.lisió lateral;431231,9;4583815,84;2.176.190.899;4.140.109.605
2020S004321    ;4;Les Corts;21;Pedralbes;144601;Diagonal;0694 0696;Dilluns;Dl;Laboral;2020;9;Setembre;21;14;Tarda;Abast;425818,02;4582082,48;2.111.643.341;41.385.002.917
2020S004322    ;10;Sant Martí;72;Sant Martí de Provençals;30409;Bac de Roda;0192B0192B;Dilluns;Dl;Laboral;2020;9;Setembre;21;14;Tarda;Abast;432827,17;4585283,01;2.195.110.616;41.414.445.384
2020S004323    ;2;Eixample;6;la Sagrada Família;161407;Indústria;0171 0173;Dilluns;Dl;Laboral;2020;9;Setembre;21;14;Tarda;Atropellament;431190,56;4584867,29;2.175.576.783;41.410.562.588
2020S004324    ;5;Sarrià-Sant Gervasi;23;Sarrià;193108;Manuel Girona;0029 0033;Dilluns;Dl;Laboral;2020;9;Setembre;21;15;Tarda;Xoc contra element estàtic;426825,35;4582746,04;2.123.609.665;41.391.071.635
