Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal_caption,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2019S002694    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,101904,General Mitre / Lázaro Cárdenas                   ,0030 0030,Divendres,Dv,Laboral,2019,4,Abril,5,12,Matí,No és causa del  vianant,0,1,0,1,2,"427750,7","4583208,29",2.134530800444519,41.39534067064903
2019S002695    ,3,Sants-Montjuïc,11,el Poble-sec,284101,Rius i Taulet                                     ,0005 0005,Divendres,Dv,Laboral,2019,4,Abril,5,13,Matí,No és causa del  vianant,0,1,0,1,5,"429335,65","4580653,53",2.153786304068153,41.372472106229196
2019S002696    ,9,Sant Andreu,62,el Congrés i els Indians,121402,Felip II / Garcilaso                              ,0136B0136B,Divendres,Dv,Laboral,2019,4,Abril,5,22,Nit,No és causa del  vianant,0,1,0,1,2,"431856,98","4586273,24",2.183299414741525,41.4233043718308
2019S002697    ,2,Eixample,10,Sant Antoni,127704,Floridablanca                                     ,0083 0083,Divendres,Dv,Laboral,2019,4,Abril,5,20,Tarda,No és causa del  vianant,0,1,0,1,2,"429789,75","4581395,82",2.1591296666026465,41.37919740487369
2019S002698    ,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",201400,Picasso / Fusina                                  ,0024 0024,Divendres,Dv,Laboral,2019,4,Abril,5,21,Tarda,No és causa del  vianant,0,0,1,1,2,"431840,83","4582238,87",2.1835611665682464,41.386967063466564
2019S002699    ,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,225500,Sant Antoni Maria Claret / Nàpols                 ,0343 0343,Divendres,Dv,Laboral,2019,4,Abril,5,18,Tarda,No és causa del  vianant,0,1,0,1,2,"430390,93","4584294,13",2.165984853120514,41.405353563584576
2019S002700    ,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,101008,Tibidabo / Román Macaya                           ,0031 0031,Divendres,Dv,Laboral,2019,4,Abril,5,22,Nit,No és causa del  vianant,0,3,0,3,2,"427758,38","4585222,22",2.1343819505419144,41.41347978812411
2019S002701    ,6,Gràcia,30,la Salut,344000,Dalt                                              ,0029 0029,Divendres,Dv,Laboral,2019,4,Abril,5,19,Tarda,No és causa del  vianant,0,1,0,1,2,"429268,56","4584690,34",2.1525120540713703,41.408823925988884
2019S002702    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,18505,Aragó / Casanova                                  ,0170 0170,Dissabte,Ds,Laboral,2019,4,Abril,6,0,Nit,No és causa del  vianant,0,2,0,2,2,"429624,41","4582179,77",2.1570613855370064,41.38624364045859
2019S002703    ,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",177101,Laietana                                          ,0046A0046A,Dissabte,Ds,Laboral,2019,4,Abril,6,0,Nit,Creuar per fora pas de vianants,0,1,0,1,1,"431158,58","4582201,58",2.1754062046542875,41.38657302306344
