"Codi d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripci¢ dia setmana","Dia setmana","Descripci¢ tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripci¢ causa vianant","Descripci¢ tipus de vehicle","Descripci¢ model","Descripci¢ marca","Descripci¢ color","Descripci¢ carnet","Antiguitat carnet","Coordenada UTM (Y)","Coordenada UTM (X)"
2013S006172,8,"Nou Barris",53,"la Trinitat Nova",120807,FavŠncia,"0379 0379",Dissabte,Ds,Laboral,2013,8,Agost,31,21,"No ‚s causa del  vianant",Autob£s,Lions,MAN,Vermell,D,21,"4588923,22","432154,47"
2013S006602,9,"Sant Andreu",59,"el Bon Pastor",701177,Monterrey,"0001 0001",Dimecres,Dc,Laboral,2013,9,Setembre,18,15,"No ‚s causa del  vianant",Turismo,"C 220",MERCEDES,Platejat,B,49,"4588493,8","433767,83"
2013S006606,10,"Sant Mart¡",71,"Proven‡als del Poblenou",30409,"Bac de Roda",0119X0119X,Dimecres,Dc,Laboral,2013,9,Setembre,18,19,"No ‚s causa del  vianant",Motocicleta,FZ6,YAMAHA,Negre,A,22,"4584638,64","433418,02"
2013S006733,5,"Sarri…-Sant Gervasi",24,"les Tres Torres",44709,Bonanova,"0043 0043",Dilluns,Dl,Laboral,2013,9,Setembre,23,12,"No ‚s causa del  vianant",Motocicleta,R1200,BMW,Gris,A,28,"4584234,01","427365,07"
2013S006734,10,"Sant Mart¡",70,"el Bes•s i el Maresme",165408,"Jaume Fabre","0001 0001",Dilluns,Dl,Laboral,2013,9,Setembre,23,12,"No ‚s causa del  vianant",Turismo,SCENIC,RENAULT,Gris,B,36,"4585174,61","434651,99"
2013S006070,2,Eixample,10,"Sant Antoni",323203,Sep£lveda,"0006 0008",Dissabte,Ds,Laboral,2013,8,Agost,24,11,"No ‚s causa del  vianant",Furgoneta,BERLINGO,CITROEN,Gris,Desconegut,Desconegut,"4581031,02","429256,8"
2013S006073,2,Eixample,7,"la Dreta de l'Eixample",89004,"Consell de Cent","0441 0441",Dissabte,Ds,Laboral,2013,8,Agost,24,18,"No ‚s causa del  vianant",Turismo,IBIZA,SEAT,Negre,B,11,"4583417,13","431044,96"
2013S006206,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",79306,Circumvalúlaci¢,"0005 0005",Dimarts,Dm,Laboral,2013,9,Setembre,3,8,"No ‚s causa del  vianant",Motocicleta,650,BMW,Groc,A2,1,"4582016,02","432137,6"
2013S006211,3,Sants-Montju‹c,14,"la Font de la Guatlla",169409,"Corts Catalanes","0192 0192",Dimarts,Dm,Laboral,2013,9,Setembre,3,10,"No ‚s causa del  vianant",Turismo,ASTRA,OPEL,Vermell,B,9,"4580214,82","428234,41"
2013S006212,5,"Sarri…-Sant Gervasi",26,"Sant Gervasi - Galvany",214106,Modolell,"0080 0080",Dimarts,Dm,Laboral,2013,9,Setembre,3,11,"No ‚s causa del  vianant",Turismo,VOYAGER,CHRYSLER,Blau,B,21,"4583959,62","427994,93"
2013S006213,9,"Sant Andreu",60,"Sant Andreu",209900,Meridiana,"0386 0388",Dimarts,Dm,Laboral,2013,9,Setembre,3,11,"No ‚s causa del  vianant",Motocicleta,"FMX 650",HONDA,Negre,A2,2,"4586986,13","431899,18"
2013S006477,3,Sants-Montju‹c,16,"la Bordeta",160903,"Ildefons Cerd…","0004 0004",Divendres,Dv,Laboral,2013,9,Setembre,13,14,"No ‚s causa del  vianant",Motocicleta,"SH 125",HONDA,Blanc,A1,3,"4579792,08","427711,55"
2013S006610,4,"Les Corts",20,"la Maternitat i Sant Ramon",66508,"Carles III","0045 0045",Dimecres,Dc,Laboral,2013,9,Setembre,18,20,"No ‚s causa del  vianant",Turismo,GOLF,VOLKSWAGEN,Gris,B,7,"4581781,49","427163,4"
2013S006613,9,"Sant Andreu",60,"Sant Andreu",701268,"Dalt (Llobregat)",1580000,Dimecres,Dc,Laboral,2013,9,Setembre,18,19,"No ‚s causa del  vianant",Turismo,307,PEUGEOT,Negre,B,13,"4588881,27","432518,24"
2013S000306,6,Gr…cia,31,"la Vila de Gr…cia",31300,BailŠn,"0219 0219",Dilluns,Dl,Laboral,2013,1,Gener,14,21,"No ‚s causa del  vianant",Bicicleta,Desconegut,BH,Altres,Desconegut,Desconegut,"4583998,95","430118,37"
