"N£mero d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripci¢ dia setmana","Dia setmana","Descripci¢ tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripci¢ torn","Descripci¢ causa mediata","Coordenada UTM (Y)","Coordenada UTM (X)"
2011S002525,1,"Ciutat Vella",3,"la Barceloneta",132908,"Ramon Trias Fargas","0001 0001",Dimarts,Dm,Laboral,2011,4,Abril,12,16,Tarda,"No hi ha causa mediata","4582097,61","432907,31"
2011S007861,1,"Ciutat Vella",3,"la Barceloneta",132908,"Ramon Trias Fargas","0002 0002",Dilluns,Dl,Laboral,2011,11,Novembre,21,13,Mat°,"No hi ha causa mediata","4582123,24","432917,61"
2011S001951,1,"Ciutat Vella",3,"la Barceloneta",10900,"Almirall Cervera","0014 0014",Dimarts,Dm,Laboral,2011,3,Mará,22,18,Tarda,"No hi ha causa mediata","4581268,86","432326,9"
2011S006685,1,"Ciutat Vella",3,"la Barceloneta",197903,"Mar°tim de la Barceloneta","0001 0003",Dimecres,Dc,Laboral,2011,10,Octubre,5,15,Tarda,"No hi ha causa mediata","4581357,65","432525,16"
2011S002985,1,"Ciutat Vella",3,"la Barceloneta",197903,"Mar°tim de la Barceloneta","0016 0016",Dimarts,Dm,Laboral,2011,5,Maig,3,17,Tarda,"No hi ha causa mediata","4581366,11","432578,41"
2011S007473,1,"Ciutat Vella",3,"la Barceloneta",700654,Litoral,"0002 0010",Dilluns,Dl,Laboral,2011,11,Novembre,7,5,Nit,"No hi ha causa mediata","4582127,97","432766,76"
2011S003667,1,"Ciutat Vella",3,"la Barceloneta",700813,"Doctor Aiguader","0088 0088",Dilluns,Dl,Laboral,2011,5,Maig,30,7,Mat°,"No hi ha causa mediata","4582076,17","432704,73"
2011S005425,1,"Ciutat Vella",3,"la Barceloneta",197903,"Mar°tim de la Barceloneta","0033 0033",Dijous,Dj,Laboral,2011,8,Agost,11,5,Nit,Alcoholämia,"4581984,43","432828,17"
2011S002709,1,"Ciutat Vella",3,"la Barceloneta",701266,"Litoral (Llobregat)",980000,Dimarts,Dm,Laboral,2011,4,Abril,19,23,Nit,"No hi ha causa mediata","4581701,28","432018,39"
2011S003516,1,"Ciutat Vella",3,"la Barceloneta",197903,"Mar°tim de la Barceloneta","0014 0014",Dimarts,Dm,Laboral,2011,5,Maig,24,12,Mat°,"No hi ha causa mediata","4581304,01","432547,28"
2011S007026,1,"Ciutat Vella",3,"la Barceloneta",701265,"Litoral (Besïs)",910000,Dimarts,Dm,Laboral,2011,10,Octubre,18,16,Tarda,"No hi ha causa mediata","4582055,23","432623,95"
2011S001340,1,"Ciutat Vella",3,"la Barceloneta",701265,"Litoral (Besïs)",910000,Divendres,Dv,Laboral,2011,2,Febrer,25,20,Tarda,"No hi ha causa mediata","4582055,23","432623,95"
2011S000698,1,"Ciutat Vella",3,"la Barceloneta",701266,"Litoral (Llobregat)",0022S0000,Dimecres,Dc,Laboral,2011,2,Febrer,2,14,Tarda,"No hi ha causa mediata","4582237,77","432786,88"
2011S002388,1,"Ciutat Vella",2,"el Barri Gïtic",102601,"Doctor Joaquim Pou","0001 0001",Dijous,Dj,Laboral,2011,4,Abril,7,19,Tarda,"No hi ha causa mediata","4582135,25","431171,69"
2011S006818,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",342900,Trafalgar,"0036 0036",Dilluns,Dl,Laboral,2011,10,Octubre,10,13,Mat°,"No hi ha causa mediata","4582492,35","431231,6"
