"Número d'expedient","Codi districte","Nom districte","NK barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia de setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripció torn","Descripció causa vianant","Número de morts","Número de lesionats lleus","Número de lesionats greus","Número de víctimes","Número de vehicles implicats","Coordenada UTM (Y)","Coordenada UTM (X)"
2014S007502,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",245802,París,"0116 0118",Divendres,5,Laboral,2014,10,Octubre,17,13,Matí,Desconegut,0,1,0,1,2,"4582611,30","428918,71"
2014S006680,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",245802,París,"0130 0130",Dimecres,3,Laboral,2014,9,Setembre,17,19,Tarda,Desconegut,0,1,0,1,2,"4582664,17","428975,26"
2014S008716,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",349706,"Comte d'Urgell","0236 0236",Dijous,4,Laboral,2014,11,Novembre,27,13,Matí,Desconegut,0,1,0,1,2,"4582575,10","428927,72"
2014S009152,2,Eixample,24-2-7,"la Dreta de l'Eixample",18505,Aragó,"0357 0357",Divendres,5,Laboral,2014,12,Desembre,12,21,Tarda,Desconegut,0,1,0,1,2,"4583464,78","430898,18"
2014S003865,2,Eixample,24-2-7,"la Dreta de l'Eixample",18505,Aragó,"0371 0371",Dilluns,1,Laboral,2014,5,Maig,26,13,Matí,Desconegut,0,1,0,1,4,"4583509,17","430943,39"
2014S001874,2,Eixample,24-2-7,"la Dreta de l'Eixample",18505,Aragó,"0377 0377",Dijous,4,Laboral,2014,3,Març,13,15,Tarda,Desconegut,0,1,0,1,2,"4583550,50","430985,67"
2014S004463,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",100800,Diputació,"0022 0022",Dimarts,2,Laboral,2014,6,Juny,17,14,Tarda,Desconegut,0,2,0,2,2,"4581244,45","429059,23"
2014S003330,2,Eixample,24-2-7,"la Dreta de l'Eixample",144601,Diagonal,"0313 0315",Dimarts,2,Laboral,2014,5,Maig,6,17,Tarda,Desconegut,0,1,0,1,2,"4583621,87","430848,87"
2014S003003,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",349706,"Comte d'Urgell","0162 0166",Dijous,4,Laboral,2014,4,Abril,24,14,Tarda,Desconegut,0,1,0,1,2,"4582209,64","429289,75"
2014S002748,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",350308,València,"0101 0101",Divendres,5,Laboral,2014,4,Abril,11,23,Nit,Desconegut,0,1,0,1,1,"4582147,98","429369,77"
2014S009645,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",245802,París,"0146 0148",Dimarts,2,Laboral,2014,12,Desembre,30,12,Matí,Desconegut,0,1,0,1,1,"4582754,16","429064,48"
