"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Descripció torn","Hora de dia","Descripció causa vianant","Desc. Tipus vehicle implicat","Descripció sexe","Descripció tipus persona",Edat,"Descripció victimització","Coordenada UTM (Y)","Coordenada UTM (X)"
"2011S008164    ",3,Sants-Montjuïc,13,"la Marina de Port",169409,"Corts Catalanes","0170 0184",Dissabte,Ds,Laboral,2011,12,Desembre,3,Matí,10,"No és causa del  vianant","Camión <= 3,5 Tm",Home,Conductor,39,"Ferit lleu","4580082,62","428098,64"
"2011S008179    ",3,Sants-Montjuïc,12,"la Marina del Prat Vermell",701266,"Litoral (Llobregat)",001760000,Diumenge,Dg,Laboral,2011,12,Desembre,4,Matí,06,"No és causa del  vianant",Turismo,Home,Passatger,21,"Ferit lleu","4577115,22","426653,27"
"2011S006640    ",4,"Les Corts",20,"la Maternitat i Sant Ramon",144601,Diagonal,"0687 0687",Dimarts,Dm,Laboral,2011,10,Octubre,4,Matí,09,"No és causa del  vianant",Ciclomotor,Home,Conductor,55,"Ferit lleu","4581830,33","425387,61"
"2011S006652    ",4,"Les Corts",21,Pedralbes,278302,"Reina Maria Cristina","0001 0001",Dimarts,Dm,Laboral,2011,10,Octubre,4,Matí,13,"No és causa del  vianant",Motocicleta,Dona,Conductor,49,"Ferit lleu","4582470,30","427079,29"
"2011S006664    ",3,Sants-Montjuïc,18,Sants,98005,"Daoíz i Velarde","0005 0005",Dimarts,Dm,Laboral,2011,10,Octubre,4,Tarda,21,"No és causa del  vianant",Motocicleta,Home,Vianant,23,"Ferit lleu","4580878,35","427640,15"
"2011S007166    ",2,Eixample,5,"el Fort Pienc",169409,"Corts Catalanes","0745 0747",Diumenge,Dg,Laboral,2011,10,Octubre,23,Nit,05,"No és causa del  vianant",Turismo,Home,Conductor,27,"Ferit lleu","4583588,18","431603,29"
"2011S007180    ",7,Horta-Guinardó,37,"el Carmel",101201,"Doctor Bové","0159 0159",Diumenge,Dg,Laboral,2011,10,Octubre,23,Tarda,18,"No és causa del  vianant",Turismo,Home,Conductor,24,"Ferit lleu","4585909,49","429839,37"
"2011S007717    ",9,"Sant Andreu",59,"el Bon Pastor",347551,Tucumán,"0030 0030",Dimarts,Dm,Laboral,2011,11,Novembre,15,Tarda,20,"No és causa del  vianant",Turismo,Dona,Conductor,53,"Ferit lleu","4588848,98","433510,96"
"2011S007719    ",3,Sants-Montjuïc,18,Sants,366206,Viriat,"0053 0053",Dimarts,Dm,Laboral,2011,11,Novembre,15,Tarda,19,"No és causa del  vianant",Motocicleta,Dona,Passatger,53,"Ferit lleu","4581588,87","428306,42"
"2011S006696    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",223606,Muntaner,"0485 0491",Dimecres,Dc,Laboral,2011,10,Octubre,5,Tarda,21,"No és causa del  vianant",Taxi,Home,Vianant,48,"Ferit lleu","4584015,53","428043,08"
"2011S006704    ",8,"Nou Barris",49,Canyelles,701267,"Dalt (Besòs)",001340000,Dijous,Dj,Laboral,2011,10,Octubre,6,Matí,09,"No és causa del  vianant",Motocicleta,Home,Conductor,38,"Ferit lleu","4588227,42","430259,12"
"2011S007742    ",10,"Sant Martí",71,"Provençals del Poblenou",322608,"Selva de Mar","0110 0110",Dimecres,Dc,Laboral,2011,11,Novembre,16,Tarda,16,"No és causa del  vianant",Turismo,Home,Passatger,53,"Ferit lleu","4585010,57","433647,52"
"2011S008235    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",701266,"Litoral (Llobregat)",000840000,Dimecres,Dc,Laboral,2011,12,Desembre,7,Matí,07,"No és causa del  vianant",Motocicleta,Home,Conductor,28,"Ferit lleu","4582556,54","433114,82"
"2011S008239    ",4,"Les Corts",19,"les Corts",144601,Diagonal,"0539 0541",Dimecres,Dc,Laboral,2011,12,Desembre,7,Matí,11,"No és causa del  vianant",Motocicleta,Home,Conductor,36,"Ferit lleu","4582682,86","428005,61"
"2011S006717    ",3,Sants-Montjuïc,13,"la Marina de Port",169409,"Corts Catalanes","0170 0184",Dijous,Dj,Laboral,2011,10,Octubre,6,Tarda,16,"No és causa del  vianant",Ciclomotor,Dona,Conductor,53,"Ferit lleu","4580082,62","428098,64"
"2011S007761    ",4,"Les Corts",19,"les Corts",172403,"Joan Güell",0175X0175X,Dimecres,Dc,Laboral,2011,11,Novembre,16,Matí,13,"No és causa del  vianant",Turismo,Dona,Vianant,61,"Ferit lleu","4581926,40","427428,83"
"2011S008247    ",4,"Les Corts",21,Pedralbes,102055,"Doctor Francesc Darder",0010X0010X,Dimecres,Dc,Laboral,2011,12,Desembre,7,Matí,13,"No és causa del  vianant",Turismo,Dona,Conductor,26,"Ferit lleu","4583258,09","426177,61"
"2011S008248    ",2,Eixample,6,"la Sagrada Família",350308,València,"0452 0452",Dimecres,Dc,Laboral,2011,12,Desembre,7,Tarda,14,"No és causa del  vianant",Turismo,Dona,Passatger,38,"Ferit lleu","4584009,58","431302,85"
"2011S008259    ",4,"Les Corts",21,Pedralbes,21703,Ardena,"0019 0019",Dijous,Dj,Laboral,2011,12,Desembre,8,Nit,02,"No és causa del  vianant",Turismo,Dona,Passatger,55,"Ferit lleu","4582740,51","425495,68"
"2011S006765    ",6,Gràcia,31,"la Vila de Gràcia",206403,"Gran de Gràcia","0187 0187",Divendres,Dv,Laboral,2011,10,Octubre,7,Tarda,19,"No és causa del  vianant",Motocicleta,Home,Conductor,27,"Ferit lleu","4584128,75","429206,81"
"2011S006767    ",2,Eixample,9,"la Nova Esquerra de l'Eixample",18505,Aragó,"0141 0143",Divendres,Dv,Laboral,2011,10,Octubre,7,Tarda,20,"No és causa del  vianant",Turismo,Dona,Passatger,26,"Ferit lleu","4581998,19","429408,75"
"2011S007288    ",4,"Les Corts",21,Pedralbes,193108,"Manuel Girona",0032X0032X,Divendres,Dv,Laboral,2011,10,Octubre,28,Matí,13,"No és causa del  vianant",Turismo,Dona,Vianant,52,"Ferit lleu","4582716,52","426796,91"
"2011S007296    ",10,"Sant Martí",73,"la Verneda i la Pau",701347,"Jaume Brossa","0025 0029",Divendres,Dv,Laboral,2011,10,Octubre,28,Tarda,18,"No és causa del  vianant",Autobús,Dona,Passatger,17,"Ferit lleu","4586988,89","433396,95"
"2011S007297    ",9,"Sant Andreu",63,Navas,121402,"Felip II","0063 0063",Divendres,Dv,Laboral,2011,10,Octubre,28,Tarda,19,"No és causa del  vianant",Bicicleta,Dona,Vianant,57,"Ferit lleu","4585825,59","432246,37"
"2011S007796    ",2,Eixample,6,"la Sagrada Família",68900,Cartagena,"0245 0245",Divendres,Dv,Laboral,2011,11,Novembre,18,Matí,13,"No és causa del  vianant",Motocicleta,Dona,Passatger,27,"Ferit lleu","4584579,74","431418,19"
