Número d expedient;Codi districte;Nom districte;Codi barri;Nom barri;Codi carrer;Nom carrer;Num postal caption;Descripció dia setmana;Dia setmana;Descripció tipus dia;NK Any;Mes de any;Nom mes;Dia de mes;Hora de dia;Descripció torn;Descripció causa vianant;Número de morts;Número de lesionats lleus;Número de lesionats greus;Número de víctimes;Número de vehicles implicats;Coordenada UTM (Y);Coordenada UTM (X)
2015S004176;2;Eixample;9;la Nova Esquerra de l'Eixample;18505;Aragó;0052 0052;Divendres;Dv;Laboral;2015;5;Maig;29;20;Tarda;No és causa del  vianant;0;1;0;1;2;4581666,60;429101,39
2015S004307;2;Eixample;9;la Nova Esquerra de l'Eixample;18505;Aragó;0052 0052;Dijous;Dj;Laboral;2015;6;Juny;4;16;Tarda;No és causa del  vianant;0;1;0;1;3;4581666,60;429101,39
2015S009264;2;Eixample;9;la Nova Esquerra de l'Eixample;287201;Roma;0036 0040;Dissabte;Ds;Laboral;2015;12;Desembre;5;19;Tarda;No és causa del  vianant;0;1;0;1;2;4581689,78;428750,30
2015S003647;2;Eixample;9;la Nova Esquerra de l'Eixample;287201;Roma;0036 0040;Dimecres;Dc;Laboral;2015;5;Maig;13;10;Matí;No és causa del  vianant;0;1;0;1;2;4581689,78;428750,30
2015S005062;2;Eixample;9;la Nova Esquerra de l'Eixample;287201;Roma;0036 0040;Dimecres;Dc;Laboral;2015;7;Juliol;1;16;Tarda;No és causa del  vianant;0;1;0;1;2;4581689,78;428750,30
2015S006531;2;Eixample;9;la Nova Esquerra de l'Eixample;54509;Calàbria;0120 0120;Diumenge;Dg;Laboral;2015;8;Agost;30;00;Nit;No és causa del  vianant;0;0;0;0;3;4581582,62;429331,21
2015S007458;2;Eixample;9;la Nova Esquerra de l'Eixample;362001;Vilamarí;0122 0124;Dilluns;Dl;Laboral;2015;10;Octubre;5;12;Matí;No és causa del  vianant;0;1;0;1;2;4581588,75;428764,84
2015S000881;2;Eixample;9;la Nova Esquerra de l'Eixample;245802;París;0002 0002;Dimecres;Dc;Laboral;2015;2;Febrer;4;20;Tarda;No és causa del  vianant;0;1;0;1;2;4582142,88;428441,19
2015S000885;2;Eixample;9;la Nova Esquerra de l'Eixample;245802;París;0004 0004;Dimecres;Dc;Laboral;2015;2;Febrer;4;20;Tarda;No és causa del  vianant;0;1;0;1;2;4582142,88;428441,19
2015S002940;2;Eixample;9;la Nova Esquerra de l'Eixample;701452;Paula Montal;0000 0000;Divendres;Dv;Laboral;2015;4;Abril;17;12;Matí;No és causa del  vianant;0;1;0;1;2;4581649,01;429361,39
2015S005633;2;Eixample;9;la Nova Esquerra de l'Eixample;349706;Comte d'Urgell;0127 0127;Dimarts;Dm;Laboral;2015;7;Juliol;21;19;Tarda;No és causa del  vianant;0;1;0;1;2;4582138,16;429311,55
2015S004078;2;Eixample;9;la Nova Esquerra de l'Eixample;349706;Comte d'Urgell;0143 0143;Dimarts;Dm;Laboral;2015;5;Maig;26;20;Tarda;No és causa del  vianant;0;2;0;2;3;4582237,64;429214,14
2015S002684;2;Eixample;9;la Nova Esquerra de l'Eixample;87009;Comte Borrell;0130 0130;Dissabte;Ds;Laboral;2015;4;Abril;11;07;Matí;No és causa del  vianant;0;1;0;1;2;4581719,48;429571,90
2015S001444;2;Eixample;8;l'Antiga Esquerra de l'Eixample;289105;Rosselló;0146 0146;Dimecres;Dc;Laboral;2015;2;Febrer;25;06;Matí;No és causa del  vianant;0;1;0;1;2;4582707,43;429399,44
2015S005778;2;Eixample;8;l'Antiga Esquerra de l'Eixample;191204;Mallorca;0208 0210;Dilluns;Dl;Laboral;2015;7;Juliol;27;13;Matí;No és causa del  vianant;0;3;0;3;3;4582653,23;429725,84
2015S001034;2;Eixample;8;l'Antiga Esquerra de l'Eixample;350308;València;0171I0177I;Dimarts;Dm;Laboral;2015;2;Febrer;10;16;Tarda;No és causa del  vianant;0;1;0;1;2;4582499,63;429662,25
2015S006901;2;Eixample;8;l'Antiga Esquerra de l'Eixample;18607;Aragó;0000 0000;Dilluns;Dl;Laboral;2015;9;Setembre;14;12;Matí;No és causa del  vianant;0;1;0;1;2;4582098,94;429654,61
2015S004046;2;Eixample;8;l'Antiga Esquerra de l'Eixample;18607;Aragó;0001 0002;Dilluns;Dl;Laboral;2015;5;Maig;25;21;Tarda;No és causa del  vianant;0;1;0;1;2;4582143,52;429617,10
