"Número d'expedient","Codi districte","Nom districte","NK barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia de setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripció torn","Descripció causa vianant","Número de morts","Número de lesionats lleus","Número de lesionats greus","Número de víctimes","Número de vehicles implicats","Coordenada UTM (Y)","Coordenada UTM (X)"
2011S006145,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",362001,Vilamarí,"0101 0101",Divendres,5,Laboral,2011,9,Setembre,16,09,Matí,Desconegut,0,0,1,1,2,"4581483,34","428536,51"
2011S008505,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",362001,Vilamarí,0134B0134B,Dissabte,6,Laboral,2011,12,Desembre,17,23,Nit,Desconegut,0,2,0,2,2,"4581497,24","428560,69"
2011S000635,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",331507,Tarragona,"0096 0096",Diumenge,7,Laboral,2011,1,Gener,30,21,Tarda,Desconegut,0,2,0,2,2,"4581247,06","428432,02"
2011S008086,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",285807,Rocafort,"0086 0086",Dimecres,3,Laboral,2011,11,Novembre,30,15,Tarda,Desconegut,0,2,0,2,2,"4581240,85","429185,17"
2011S004701,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",285807,Rocafort,"0079 0079",Diumenge,7,Laboral,2011,7,Juliol,10,09,Matí,Desconegut,0,1,0,1,2,"4581161,34","429227,48"
2011S005575,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",287201,Roma,"0030 0030",Dissabte,6,Laboral,2011,8,Agost,20,21,Tarda,Desconegut,0,1,0,1,2,"4581439,87","428574,81"
2011S004447,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",162002,"Josep Tarradellas","0062 0062",Dimecres,3,Laboral,2011,6,Juny,29,17,Tarda,Desconegut,0,1,0,1,2,"4581914,17","428341,89"
2011S000573,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",245802,París,"0046 0048",Dijous,4,Laboral,2011,1,Gener,27,16,Tarda,Desconegut,0,1,0,1,1,"4581974,59","428384,20"
2011S007588,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",349706,"Comte d'Urgell","0145 0145",Divendres,5,Laboral,2011,11,Novembre,11,08,Matí,Desconegut,0,1,0,1,2,"4582051,97","429102,14"
2011S004552,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",227800,Nicaragua,"0015 0015",Dilluns,1,Laboral,2011,7,Juliol,4,09,Matí,Desconegut,0,1,0,1,2,"4581506,36","428334,17"
2011S000426,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",100800,Diputació,"0113 0117",Divendres,5,Laboral,2011,1,Gener,21,21,Tarda,Desconegut,0,1,0,1,2,"4581561,09","429459,05"
2011S000053,2,Eixample,21-2-10,"Sant Antoni",198804,Paral·lel,0130B0132,Dimarts,2,Laboral,2011,1,Gener,4,18,Tarda,Desconegut,0,1,0,1,2,"4580745,82","429867,20"
2011S003187,2,Eixample,21-2-10,"Sant Antoni",198804,Paral·lel,0130B0132,Dimecres,3,Laboral,2011,5,Maig,11,16,Tarda,Desconegut,0,1,0,1,2,"4580745,82","429867,20"
2011S003191,2,Eixample,21-2-10,"Sant Antoni",198804,Paral·lel,0130B0132,Dimecres,3,Laboral,2011,5,Maig,11,20,Tarda,Desconegut,0,2,0,2,2,"4580745,82","429867,20"
2011S001541,2,Eixample,21-2-10,"Sant Antoni",169409,"Corts Catalanes","0484 0484",Dissabte,6,Laboral,2011,3,Març,5,20,Tarda,Desconegut,0,2,0,2,2,"4581297,75","429458,60"
2011S008413,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",54509,Calàbria,"0266 0266",Dijous,4,Laboral,2011,12,Desembre,15,10,Matí,Desconegut,0,1,0,1,2,"4582095,35","428535,79"
2011S004465,2,Eixample,21-2-10,"Sant Antoni",349706,"Comte d'Urgell","0057 0057",Dijous,4,Laboral,2011,6,Juny,30,15,Tarda,Desconegut,0,2,0,2,2,"4581479,55","429662,76"
2011S003856,2,Eixample,21-2-10,"Sant Antoni",361406,Viladomat,"0082 0082",Dilluns,1,Laboral,2011,6,Juny,6,11,Matí,Desconegut,0,1,0,1,2,"4581156,60","429645,08"
2011S001045,2,Eixample,21-2-10,"Sant Antoni",361406,Viladomat,"0063 0063",Dimarts,2,Laboral,2011,2,Febrer,15,19,Tarda,Desconegut,0,1,0,1,2,"4581053,49","429712,34"
2011S003180,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",289105,Rosselló,0079B0079B,Dimecres,3,Laboral,2011,5,Maig,11,14,Tarda,Desconegut,0,0,1,1,3,"4581908,53","428668,54"
2011S003540,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",245802,París,"0113 0115",Dimecres,3,Laboral,2011,5,Maig,25,11,Matí,Desconegut,0,1,0,1,2,"4582362,45","428748,24"
2011S003234,2,Eixample,21-2-10,"Sant Antoni",349706,"Comte d'Urgell","0010 0010",Divendres,5,Laboral,2011,5,Maig,13,12,Matí,Desconegut,0,1,0,1,1,"4581206,84","429973,56"
2011S000079,2,Eixample,21-2-10,"Sant Antoni",349706,"Comte d'Urgell","0012 0012",Dimecres,3,Laboral,2011,1,Gener,5,18,Tarda,Desconegut,0,2,0,2,2,"4581213,29","429967,50"
2011S007807,2,Eixample,21-2-10,"Sant Antoni",363809,Villarroel,"0039 0039",Divendres,5,Laboral,2011,11,Novembre,18,16,Tarda,Desconegut,0,1,0,1,1,"4581519,65","429817,94"
2011S004211,2,Eixample,21-2-10,"Sant Antoni",54509,Calàbria,"0059 0059",Dilluns,1,Laboral,2011,6,Juny,20,11,Matí,Desconegut,0,3,0,3,1,"4581010,28","429569,19"
2011S004212,2,Eixample,21-2-10,"Sant Antoni",296508,"Sant Antoni","0055 0055",Dilluns,1,Laboral,2011,6,Juny,20,13,Matí,Desconegut,0,2,0,2,2,"4581753,32","430071,92"
2011S002291,2,Eixample,21-2-10,"Sant Antoni",349207,Universitat,"0001 0001",Dilluns,1,Laboral,2011,4,Abril,4,14,Tarda,Desconegut,0,1,0,1,2,"4581861,80","430043,89"
2011S001264,2,Eixample,21-2-10,"Sant Antoni",198407,"Marquès de Campo Sagrado","0032 0032",Dimecres,3,Laboral,2011,2,Febrer,23,12,Matí,Desconegut,0,1,0,1,1,"4580902,40","430204,06"
2011S003985,2,Eixample,21-2-10,"Sant Antoni",198804,Paral·lel,0080B0080B,Divendres,5,Laboral,2011,6,Juny,10,18,Tarda,Desconegut,0,1,0,1,1,"4580739,37","430362,32"
2011S006072,2,Eixample,22-2-9,"la Nova Esquerra de l'Eixample",54509,Calàbria,"0267 0267",Dimecres,3,Laboral,2011,9,Setembre,14,16,Tarda,Desconegut,0,1,0,1,2,"4582125,15","428476,31"
2011S000028,2,Eixample,21-2-10,"Sant Antoni",127704,Floridablanca,"0051 0051",Dilluns,1,Laboral,2011,1,Gener,3,10,Matí,Desconegut,0,1,0,1,2,"4581063,16","429564,52"
2011S001516,2,Eixample,24-2-7,"la Dreta de l'Eixample",191204,Mallorca,"0319 0319",Divendres,5,Laboral,2011,3,Març,4,18,Tarda,Desconegut,0,1,0,1,2,"4583254,70","430421,83"
2011S007548,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",223606,Muntaner,"0149 0149",Dijous,4,Laboral,2011,11,Novembre,10,09,Matí,Desconegut,0,1,0,1,2,"4582495,55","429238,21"
2011S001411,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",245802,París,"0167 0167",Dimarts,2,Laboral,2011,3,Març,1,11,Matí,Desconegut,0,1,0,1,2,"4582661,61","429053,46"
2011S006138,2,Eixample,24-2-7,"la Dreta de l'Eixample",191204,Mallorca,"0332 0332",Divendres,5,Laboral,2011,9,Setembre,16,09,Matí,Desconegut,0,1,0,1,2,"4583332,92","430532,87"
2011S005234,2,Eixample,24-2-7,"la Dreta de l'Eixample",176801,"Roger de Llúria","0102 0102",Dimarts,2,Laboral,2011,8,Agost,2,08,Matí,Desconegut,0,1,0,1,2,"4583063,54","430212,45"
2011S002845,2,Eixample,24-2-7,"la Dreta de l'Eixample",350308,València,"0285 0285",Dijous,4,Laboral,2011,4,Abril,28,09,Matí,Desconegut,0,1,0,1,2,"4582971,06","430324,61"
2011S002327,2,Eixample,24-2-7,"la Dreta de l'Eixample",350308,València,"0303 0303",Dimarts,2,Laboral,2011,4,Abril,5,20,Tarda,"Transitar a peu per la calçada",0,1,0,1,1,"4583064,36","430419,64"
2011S001143,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",349706,"Comte d'Urgell","0262 0262",Divendres,5,Laboral,2011,2,Febrer,18,16,Tarda,Desconegut,0,0,0,0,2,"4582517,38","428690,23"
2011S006415,2,Eixample,24-2-7,"la Dreta de l'Eixample",289105,Rosselló,"0305 0305",Dilluns,1,Laboral,2011,9,Setembre,26,13,Matí,Altres,0,2,0,2,1,"4583398,58","430185,75"
2011S000707,2,Eixample,24-2-7,"la Dreta de l'Eixample",18505,Aragó,"0349 0349",Dimecres,3,Laboral,2011,2,Febrer,2,19,Tarda,Desconegut,0,1,0,1,2,"4583186,29","430728,55"
2011S004597,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",363809,Villarroel,"0223 0223",Dimarts,2,Laboral,2011,7,Juliol,5,22,Nit,Desconegut,0,2,0,2,2,"4582460,16","428896,39"
2011S003412,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",350308,València,"0143 0143",Dijous,4,Laboral,2011,5,Maig,19,21,Tarda,Desconegut,0,2,0,2,2,"4582093,82","429427,18"
2011S007100,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",349706,"Comte d'Urgell","0142 0144",Divendres,5,Laboral,2011,10,Octubre,21,01,Nit,Altres,0,1,0,1,1,"4581905,45","429289,73"
2011S004553,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",70607,Casanova,"0224 0226",Dilluns,1,Laboral,2011,7,Juliol,4,10,Matí,Desconegut,0,1,0,1,2,"4582656,57","428924,28"
