,NUMERO EXPEDIENTE,TIPO ACCIDENTE
447,2011S002471,Col.lisió fronto-lateral
448,2011S007847,Altres
449,2011S006848,Col.lisió lateral
450,2011S007997,Col.lisió lateral
451,2011S008609,Col.lisió lateral
452,2011S007016,Abast
453,2011S006525,Caiguda (dues rodes)
454,2011S003480,Col.lisió fronto-lateral
455,2011S000910,Abast
456,2011S002292,Col.lisió lateral
457,2011S004926,Col.lisió fronto-lateral
458,2011S003213,Col.lisió fronto-lateral
459,2011S006753,Col.lisió lateral
460,2011S001183,Caiguda (dues rodes)
461,2011S004092,Abast
462,2011S008745,Caiguda interior vehicle
463,2011S002873,Caiguda (dues rodes)
464,2011S000942,Col.lisió lateral
465,2011S002376,Caiguda (dues rodes)
466,2011S005640,Abast
467,2011S007566,Abast
468,2011S001531,Col.lisió lateral
469,2011S005759,Col.lisió lateral
470,2011S005990,Col.lisió fronto-lateral
471,2011S008178,Abast
472,2011S007918,Atropellament
473,2011S007196,Col.lisió lateral
474,2011S003119,Atropellament
475,2011S000917,Col.lisió lateral
476,2011S006711,Col.lisió lateral
477,2011S001250,Caiguda (dues rodes)
478,2011S006509,Col.lisió fronto-lateral
479,2011S001445,Abast
480,2011S005657,Caiguda interior vehicle
481,2011S001815,Col.lisió lateral
482,2011S003122,Abast
483,2011S008576,Col.lisió fronto-lateral
484,2011S003299,Caiguda interior vehicle
485,2011S007646,Abast
486,2011S007399,Col.lisió lateral
487,2011S001482,Atropellament
488,2011S004640,Abast
489,2011S002086,Abast
490,2011S003564,Abast
491,2011S006610,Abast
492,2011S003496,Col.lisió fronto-lateral
493,2011S005747,Col.lisió fronto-lateral
494,2011S004088,Col.lisió fronto-lateral
495,2011S003393,Atropellament
496,2011S004829,Col.lisió fronto-lateral
497,2011S007142,Xoc contra element estàtic
498,2011S004994,Abast
499,2011S006993,Col.lisió fronto-lateral
500,2011S002215,Col.lisió fronto-lateral
501,2011S004315,Col.lisió fronto-lateral
502,2011S004131,Col.lisió frontal
503,2011S008607,Caiguda (dues rodes)
504,2011S000340,Abast
505,2011S003517,Abast
506,2011S003628,Xoc contra element estàtic
507,2011S004949,Col.lisió fronto-lateral
508,2011S002878,Col.lisió lateral
509,2011S001199,Col.lisió lateral
510,2011S007390,Abast
511,2011S006365,Xoc contra element estàtic
512,2011S008049,Caiguda (dues rodes)
513,2011S008076,Atropellament
514,2011S002553,Atropellament
515,2011S002782,Caiguda (dues rodes)
516,2011S004839,Col.lisió fronto-lateral
517,2011S005308,Col.lisió fronto-lateral
518,2011S008060,Col.lisió lateral
519,2011S007280,Atropellament
520,2011S001849,Col.lisió fronto-lateral
