"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripció causa vianant","Desc. Tipus vehicle implicat","Descripció sexe","Descripció tipus persona",Edat,"Descripció victimització","Coordenada UTM (Y)","Coordenada UTM (X)"
2015S008673,1,"Ciutat Vella",1,"el Raval",701097,Blanquerna,"0000 0000",Dimarts,Dm,Laboral,2015,11,Novembre,17,03,"No és causa del  vianant",Bicicleta,Home,Conductor,35,"Ferit lleu","4580933,19","431061,32"
2015S009318,1,"Ciutat Vella",1,"el Raval",701497,"B-10 (Llobregat)",001090000,Dimarts,Dm,Laboral,2015,12,Desembre,8,10,"No és causa del  vianant",Motocicleta,Home,Conductor,24,"Ferit lleu","4580889,43","431349,76"
2015S001525,1,"Ciutat Vella",1,"el Raval",701498,"B-10 (Besòs)",001090000,Dijous,Dj,Laboral,2015,2,Febrer,26,06,"No és causa del  vianant",Turismo,Dona,Conductor,25,"Ferit lleu","4580879,47","431372,37"
2015S005719,1,"Ciutat Vella",1,"el Raval",701367,Raval,"0032 0032",Divendres,Dv,Laboral,2015,7,Juliol,24,05,"No és causa del  vianant",Turismo,Dona,Vianant,9,"Ferit lleu","4581218,77","430696,47"
2015S002425,1,"Ciutat Vella",1,"el Raval",86902,"Nou de la Rambla","0010 0010",Dimarts,Dm,Laboral,2015,3,Març,31,11,"Creuar per fora pas de vianants",Motocicleta,Dona,Vianant,22,"Ferit lleu","4581371,11","431037,21"
2015S002057,1,"Ciutat Vella",1,"el Raval",701367,Raval,0023X0023X,Dimecres,Dc,Laboral,2015,3,Març,18,02,"No és causa del  vianant",Motocicleta,Home,Conductor,49,"Ferit lleu","4581340,85","430668,83"
2015S008451,1,"Ciutat Vella",1,"el Raval",274006,Ramelleres,"0004 0004",Dilluns,Dl,Laboral,2015,11,Novembre,9,02,"No és causa del  vianant",Motocicleta,Home,Conductor,51,"Ferit lleu","4581908,22","430634,74"
2015S003542,1,"Ciutat Vella",1,"el Raval",311500,"Sant Vicenç","0014 0014",Dissabte,Ds,Laboral,2015,5,Maig,9,09,"No és causa del  vianant",Turismo,Dona,Vianant,78,"Ferit lleu","4581590,67","430296,08"
2015S006851,1,"Ciutat Vella",1,"el Raval",254803,"Peu de la Creu","0004 0004",Dissabte,Ds,Laboral,2015,9,Setembre,12,08,"No és causa del  vianant",Taxi,Dona,Passatger,45,"Ferit lleu","4581693,67","430523,04"
2015S000866,1,"Ciutat Vella",1,"el Raval",34308,Rambla,"0103 0103",Dimecres,Dc,Laboral,2015,2,Febrer,4,11,"No és causa del  vianant",Bicicleta,Dona,Conductor,42,"Ferit lleu","4581779,83","430831,54"
