"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Descripció torn","Hora de dia","Descripció causa vianant","Desc. Tipus vehicle implicat","Descripció sexe","Descripció tipus persona",Edat,"Descripció victimització","Coordenada UTM (Y)","Coordenada UTM (X)"
"2013S000951    ",2,Eixample,8,"l'Antiga Esquerra de l'Eixample",363809,Villarroel,"0171 0171",Dijous,Dj,Laboral,2013,2,Febrer,7,Matí,13,"No és causa del  vianant",Motocicleta,Home,Conductor,42,"Ferit lleu","4582414,06","429236,26"
"2013S001480    ",3,Sants-Montjuïc,18,Sants,331507,Tarragona,0185X0185X,Dimarts,Dm,Laboral,2013,2,Febrer,26,Matí,09,"No és causa del  vianant",Motocicleta,Dona,Conductor,32,"Ferit lleu","4581545,29","428399,57"
"2013S001490    ",2,Eixample,7,"la Dreta de l'Eixample",349309,Universitat,"0015 0015",Dimarts,Dm,Laboral,2013,2,Febrer,26,Matí,13,"No és causa del  vianant",Ciclomotor,Dona,Conductor,21,"Ferit lleu","4582216,12","430356,47"
"2013S001491    ",2,Eixample,6,"la Sagrada Família",73900,Castillejos,"0326 0326",Dimarts,Dm,Laboral,2013,2,Febrer,26,Matí,13,"No és causa del  vianant",Furgoneta,Dona,Vianant,79,"Ferit lleu","4584743,30","431112,53"
"2013S001499    ",6,Gràcia,31,"la Vila de Gràcia",206403,"Gran de Gràcia","0067 0067",Dimarts,Dm,Laboral,2013,2,Febrer,26,Tarda,15,"No és causa del  vianant",Ciclomotor,Dona,Conductor,22,"Ferit lleu","4583696,30","429483,21"
"2013S001998    ",8,"Nou Barris",55,"Ciutat Meridiana",275600,"Rasos de Peguera","0011 0011",Dissabte,Ds,Laboral,2013,3,Març,16,Nit,22,"No és causa del  vianant",Turismo,Dona,Passatger,37,"Ferit lleu","4590480,09","431441,76"
"2013S002019    ",6,Gràcia,31,"la Vila de Gràcia",90502,Còrsega,"0379 0379",Dilluns,Dl,Laboral,2013,3,Març,18,Matí,13,"No és causa del  vianant",Turismo,Home,Conductor,38,"Ferit lleu","4583629,71","430114,64"
"2013S002484    ",2,Eixample,7,"la Dreta de l'Eixample",176801,"Roger de Llúria","0091 0091",Dissabte,Ds,Laboral,2013,4,Abril,6,Tarda,21,"No és causa del  vianant",Motocicleta,Home,Conductor,41,"Ferit lleu","4583177,58","430359,26"
"2013S000994    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",318804,Santaló,"0027 0027",Divendres,Dv,Laboral,2013,2,Febrer,8,Tarda,19,"No és causa del  vianant",Motocicleta,Home,Conductor,40,"Ferit lleu","4583194,32","428710,88"
"2013S001001    ",2,Eixample,8,"l'Antiga Esquerra de l'Eixample",23403,Aribau,"0059 0059",Dissabte,Ds,Laboral,2013,2,Febrer,9,Matí,08,"No és causa del  vianant",Motocicleta,Home,Conductor,39,"Ferit lleu","4582435,79","429776,86"
