"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal","Descripcio_dia_setmana","Dia_setmana","Descripcio_tipus_dia","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_vianant","Descripcio_tipus_vehicle","Descripcio_model","Descripcio_marca","Descripcio_color","Descripcio_carnet","Antiguitat_carnet","Coordenada_UTM_X","Coordenada_UTM_Y","Latitud","Longitud"
"2020S002841    ",8,"Nou Barris",46,"el Turó de la Peira",103003,"Doctor Pi i Molist","0077 0077","Dimarts","Dm","Laboral",2020,6,"Juny",30,10,"Matí","No és causa del  vianant","Turisme","SCENIC 1.6","RENAULT","Blau","B",19,"430971.24","4587472.72","41.434009968","2.17265532"
"2020S002841    ",8,"Nou Barris",46,"el Turó de la Peira",103003,"Doctor Pi i Molist","0077 0077","Dimarts","Dm","Laboral",2020,6,"Juny",30,10,"Matí","No és causa del  vianant","Motocicleta","SH 125","HONDA","Negre","AM",19,"430971.24","4587472.72","41.434009968","2.17265532"
"2020S002842    ",6,"Gràcia",31,"la Vila de Gràcia",148307,"Gràcia","0132 0132","Dimarts","Dm","Laboral",2020,6,"Juny",30,8,"Matí","No és causa del  vianant","Camió rígid > 3,5 tones","PREMIUM 320.26","RENAULT","Blanc","B",16,"429708.17","4583485.36","41.397987689","2.15800251"
"2020S002842    ",6,"Gràcia",31,"la Vila de Gràcia",148307,"Gràcia","0132 0132","Dimarts","Dm","Laboral",2020,6,"Juny",30,8,"Matí","No és causa del  vianant","Turisme","Crossland X","OPEL","Gris","B",6,"429708.17","4583485.36","41.397987689","2.15800251"
"2020S002843    ",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",701629,"Isaac Newton","0030U0030U","Dimarts","Dm","Laboral",2020,6,"Juny",30,11,"Matí","No és causa del  vianant","Turisme","C4","CITROEN","Negre","B",26,"427498.66","4585262.91","41.413801046","2.13136084"
"2020S002843    ",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",701629,"Isaac Newton","0030U0030U","Dimarts","Dm","Laboral",2020,6,"Juny",30,11,"Matí","No és causa del  vianant","Turisme","RAPID","SKODA","Negre","B",51,"427498.66","4585262.91","41.413801046","2.13136084"
"2020S002843    ",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",701629,"Isaac Newton","0030U0030U","Dimarts","Dm","Laboral",2020,6,"Juny",30,11,"Matí","No és causa del  vianant","Turisme","LEON","SEAT","Vermell","B",33,"427498.66","4585262.91","41.413801046","2.13136084"
"2020S002844    ",2,"Eixample",5,"el Fort Pienc",144601,"Diagonal","0263 0267","Dimarts","Dm","Laboral",2020,6,"Juny",30,14,"Tarda","No és causa del  vianant","Turisme","TOYOTA COROLLA","TOYOTA","Gris","B",31,"431522.62","4583840.13","41.40133965","2.17966574"
"2020S002844    ",2,"Eixample",5,"el Fort Pienc",144601,"Diagonal","0263 0267","Dimarts","Dm","Laboral",2020,6,"Juny",30,14,"Tarda","No és causa del  vianant","Bicicleta"," ","ES DESCONEIX","Negre","Desconegut","Desconegut","431522.62","4583840.13","41.40133965","2.17966574"
"2020S002845    ",8,"Nou Barris",53,"la Trinitat Nova",209900,"Meridiana","0605X0605X","Dimarts","Dm","Laboral",2020,6,"Juny",30,14,"Tarda","No és causa del  vianant","Turisme","FOCUS","FORD","Negre","B",3,"432279.56","4589210.67","41.449774537","2.18811843"
"2020S002845    ",8,"Nou Barris",53,"la Trinitat Nova",209900,"Meridiana","0605X0605X","Dimarts","Dm","Laboral",2020,6,"Juny",30,14,"Tarda","No és causa del  vianant","Turisme","IBIZA","SEAT","Negre","B",23,"432279.56","4589210.67","41.449774537","2.18811843"
"2020S002846    ",2,"Eixample",6,"la Sagrada Família",89004,"Consell de Cent","0559 0561","Dimarts","Dm","Laboral",2020,6,"Juny",30,14,"Tarda","No és causa del  vianant","Veh. mobilitat personal amb motor","Desconegut","Desconegut","Negre","Desconegut","Desconegut","431774.73","4584126.95","41.403944398","2.18264914"
"2020S002846    ",2,"Eixample",6,"la Sagrada Família",89004,"Consell de Cent","0559 0561","Dimarts","Dm","Laboral",2020,6,"Juny",30,14,"Tarda","No és causa del  vianant","Turisme","LEON","SEAT","Vermell","B",1,"431774.73","4584126.95","41.403944398","2.18264914"
"2020S002847    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",18505,"Aragó","0187 0187","Dimarts","Dm","Laboral",2020,6,"Juny",30,15,"Tarda","No és causa del  vianant","Turisme","320D TOURING","BMW","Gris","B",19,"429748.98","4582339.33","41.387669351","2.15862366"
"2020S002847    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",18505,"Aragó","0187 0187","Dimarts","Dm","Laboral",2020,6,"Juny",30,15,"Tarda","No és causa del  vianant","Turisme","XSARA","CITROEN","Verd","B",30,"429748.98","4582339.33","41.387669351","2.15862366"
"2020S002848    ",2,"Eixample",7,"la Dreta de l'Eixample",305100,"Sant Joan","0051 0051","Dimarts","Dm","Laboral",2020,6,"Juny",30,17,"Tarda","No és causa del  vianant","Motocicleta","YZF125-A","YAMAHA","Blau","B",7,"430933.91","4583332.94","41.396721165","2.17268146"
"2020S002848    ",2,"Eixample",7,"la Dreta de l'Eixample",305100,"Sant Joan","0051 0051","Dimarts","Dm","Laboral",2020,6,"Juny",30,17,"Tarda","No és causa del  vianant","Turisme","SHARAN","VOLKSWAGEN","Gris","B",33,"430933.91","4583332.94","41.396721165","2.17268146"
"2020S002849    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",162002,"Josep Tarradellas","0136 0136","Dimarts","Dm","Laboral",2020,6,"Juny",30,15,"Tarda","No és causa del  vianant","Bicicleta","Desconegut","Desconegut","Desconegut","Desconegut","Desconegut","428568.89","4582818.46","41.391880716","2.14445391"
