"N£mero d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripci¢ dia setmana","Dia setmana","Descripci¢ tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripci¢ torn","Descripci¢ tipus accident","Coordenada UTM (Y)","Coordenada UTM (X)"
2013S007794,2,Eixample,7,"la Dreta de l'Eixample",247659,"Pau Claris","9999 9999",Dijous,Dj,Laboral,2013,10,Octubre,31,22,Nit,Atropellament,"4583353,85","430023,88"
2013S002888,2,Eixample,6,"la Sagrada Fam°lia",178308,Lepant,0222X0222X,Dilluns,Dl,Laboral,2013,4,Abril,22,9,Mat°,Abast,"4583917,29","431591,86"
2013S002104,2,Eixample,6,"la Sagrada Fam°lia",178308,Lepant,0222X0222X,Dimecres,Dc,Laboral,2013,3,Mará,20,15,Tarda,"Xoc contra element estÖtic","4583917,29","431591,86"
2013S001340,2,Eixample,6,"la Sagrada Fam°lia",191204,Mallorca,"0444 0444",Dijous,Dj,Laboral,2013,2,Febrer,21,14,Tarda,Atropellament,"4584230,03","431336,7"
2013S001195,2,Eixample,6,"la Sagrada Fam°lia",68900,Cartagena,0259B0259B,Divendres,Dv,Laboral,2013,2,Febrer,15,21,Tarda,"Col.lisi¢ lateral","4584623,55",431370
2013S000482,2,Eixample,7,"la Dreta de l'Eixample",32700,Balmes,"0152 0152",Dilluns,Dl,Laboral,2013,1,Gener,21,15,Tarda,Abast,"4583093,03","429541,24"
2013S006402,2,Eixample,6,"la Sagrada Fam°lia",191204,Mallorca,0419B0419B,Dimarts,Dm,Laboral,2013,9,Setembre,10,12,Mat°,"Col.lisi¢ lateral","4584211,38","431282,35"
2013S002264,2,Eixample,6,"la Sagrada Fam°lia",105304,"Dos de Maig","0177 0177",Dimecres,Dc,Laboral,2013,3,Mará,27,11,Mat°,Atropellament,"4584167,22","432010,14"
2013S002564,2,Eixample,6,"la Sagrada Fam°lia",191204,Mallorca,0439B0439B,Dimecres,Dc,Laboral,2013,4,Abril,10,13,Mat°,"Caiguda (dues rodes)","4584300,87","431364,45"
2013S000276,2,Eixample,6,"la Sagrada Fam°lia",191204,Mallorca,"0449 0449",Dissabte,Ds,Laboral,2013,1,Gener,12,22,Nit,"Col.lisi¢ lateral","4584343,13","431420,95"
2013S008722,2,Eixample,6,"la Sagrada Fam°lia",105304,"Dos de Maig","0219 0219",Dimecres,Dc,Laboral,2013,12,Desembre,4,7,Mat°,Altres,"4584334,44","431844,09"
2013S001861,2,Eixample,6,"la Sagrada Fam°lia",144601,Diagonal,"0282 0282",Dimarts,Dm,Laboral,2013,3,Mará,12,7,Mat°,"Col.lisi¢ lateral","4584040,14","431984,8"
2013S005095,2,Eixample,7,"la Dreta de l'Eixample",144601,Diagonal,"0405 0405",Divendres,Dv,Laboral,2013,7,Juliol,12,14,Tarda,"Caiguda interior vehicle","4583202,24","429546,28"
2013S004414,2,Eixample,7,"la Dreta de l'Eixample",144601,Diagonal,0405B0405B,Dilluns,Dl,Laboral,2013,6,Juny,17,13,Mat°,Abast,"4583195,87","429526,89"
2013S007581,2,Eixample,7,"la Dreta de l'Eixample",144601,Diagonal,"0407 0407",Dijous,Dj,Laboral,2013,10,Octubre,24,20,Tarda,"Col.lisi¢ fronto-lateral","4583191,22","429512,9"
2013S000831,2,Eixample,7,"la Dreta de l'Eixample",268003,Provenáa,"0213 0213",Diumenge,Dg,Laboral,2013,2,Febrer,3,3,Nit,Abast,"4582897,27","429753,17"
2013S008347,2,Eixample,7,"la Dreta de l'Eixample",289105,Rossell¢,0216B0216B,Dijous,Dj,Laboral,2013,11,Novembre,21,21,Tarda,"Col.lisi¢ fronto-lateral","4583101,19","429802,77"
2013S000698,2,Eixample,6,"la Sagrada Fam°lia",268003,Provenáa,"0501 0501",Dimarts,Dm,Laboral,2013,1,Gener,29,8,Mat°,Atropellament,"4584488,55","431372,84"
