"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2021-01-05,"03:26:00","X8","VVX10",7.9
2021-01-05,"03:26:00","X8","DVVX10",317
2021-01-06,NA,"D5","TM",3.5
2021-01-06,"14:37:00","D5","TX",8.6
2021-01-06,"01:20:00","D5","TN",0.8
2021-01-06,NA,"D5","HRM",74
2021-01-06,"23:41:00","D5","HRX",87
2021-01-06,"14:41:00","D5","HRN",58
2021-01-06,NA,"D5","PM",964.6
2021-01-06,"21:04:00","D5","PX",966.7
2021-01-06,"00:39:00","D5","PN",962.3
2021-01-06,NA,"D5","PPT",0
2021-01-06,NA,"D5","RS24h",7.6
2021-01-06,NA,"D5","VVM10",3.4
2021-01-06,NA,"D5","DVM10",13
2021-01-06,"04:31:00","D5","VVX10",8
2021-01-06,"04:31:00","D5","DVVX10",1
2021-01-06,NA,"X2","TM",5.5
2021-01-06,"13:14:00","X2","TX",9.2
2021-01-06,"07:15:00","X2","TN",2.3
2021-01-06,NA,"X2","HRM",66
2021-01-06,"17:39:00","X2","HRX",77
2021-01-06,"11:37:00","X2","HRN",53
2021-01-06,NA,"X4","TM",6.5
2021-01-06,"13:25:00","X4","TX",9.9
2021-01-06,"07:26:00","X4","TN",3.6
2021-01-06,NA,"X4","HRM",61
2021-01-06,"23:07:00","X4","HRX",68
2021-01-06,"10:30:00","X4","HRN",50
2021-01-06,NA,"X4","PM",1010
2021-01-06,"21:49:00","X4","PX",1012
2021-01-06,"00:00:00","X4","PN",1008
2021-01-06,NA,"X4","PPT",0
2021-01-06,NA,"X4","RS24h",7.4
2021-01-06,NA,"X4","VVM10",1.3
2021-01-06,NA,"X4","DVM10",4
2021-01-06,"23:47:00","X4","VVX10",5.7
2021-01-06,"23:47:00","X4","DVVX10",3
2021-01-06,NA,"X8","TM",4.9
2021-01-06,"12:50:00","X8","TX",10.6
2021-01-06,"04:40:00","X8","TN",-0.2
2021-01-06,NA,"X8","HRM",68
